WBTemperature - (Celsius),Matiello Temp (Celsius),WBRainfall - (MM), Year, Month, Country
25.6309,,265.675,1991, Jan, Brazil
25.9331,,191.252,1991, Feb, Brazil
25.6195,,238.854,1991, Mar, Brazil
25.3122,,188.449,1991, Apr, Brazil
24.6685,,118.873,1991, May, Brazil
23.9559,,84.7695,1991, Jun, Brazil
23.2381,,66.6732,1991, Jul, Brazil
23.9559,,48.699,1991, Aug, Brazil
25.2297,,70.8228,1991, Sep, Brazil
25.5777,,92.1602,1991, Oct, Brazil
25.9442,,139.669,1991, Nov, Brazil
26.0139,,158.582,1991, Dec, Brazil
25.7539,,232.945,1992, Jan, Brazil
25.6635,,227.389,1992, Feb, Brazil
25.5218,,228.136,1992, Mar, Brazil
25.2168,,161.243,1992, Apr, Brazil
25.0763,,94.2374,1992, May, Brazil
24.3627,,58.4615,1992, Jun, Brazil
22.7497,,62.6313,1992, Jul, Brazil
23.9357,,54.3506,1992, Aug, Brazil
24.4702,,96.2761,1992, Sep, Brazil
25.6455,,112.334,1992, Oct, Brazil
25.3548,,167.401,1992, Nov, Brazil
25.3782,,186.117,1992, Dec, Brazil
25.7122,,203.732,1993, Jan, Brazil
25.3757,,235.652,1993, Feb, Brazil
25.6605,,178.804,1993, Mar, Brazil
25.5324,,164.613,1993, Apr, Brazil
24.4301,,113.278,1993, May, Brazil
23.6868,,75.472,1993, Jun, Brazil
23.3538,,63.4771,1993, Jul, Brazil
24.0561,,57.9194,1993, Aug, Brazil
25.0921,,82.9538,1993, Sep, Brazil
26.0299,,120.069,1993, Oct, Brazil
25.9032,,186.406,1993, Nov, Brazil
25.7751,,209.329,1993, Dec, Brazil
25.5768,,265.457,1994, Jan, Brazil
25.7538,,220.089,1994, Feb, Brazil
25.4201,,260.323,1994, Mar, Brazil
25.2587,,176.031,1994, Apr, Brazil
24.9608,,120.584,1994, May, Brazil
23.6368,,112.056,1994, Jun, Brazil
23.2637,,62.1686,1994, Jul, Brazil
24.2578,,56.0615,1994, Aug, Brazil
25.4814,,84.8095,1994, Sep, Brazil
26.1762,,121.428,1994, Oct, Brazil
25.8972,,164.159,1994, Nov, Brazil
25.9369,,194.758,1994, Dec, Brazil
26.165,,194.065,1995, Jan, Brazil
25.9884,,234.312,1995, Feb, Brazil
25.9259,,226.564,1995, Mar, Brazil
25.1272,,200.891,1995, Apr, Brazil
24.2585,,139.033,1995, May, Brazil
23.8711,,88.019,1995, Jun, Brazil
24.2735,,69.8075,1995, Jul, Brazil
25.0193,,42.0385,1995, Aug, Brazil
25.7562,,62.971,1995, Sep, Brazil
26.1276,,112.924,1995, Oct, Brazil
25.9217,,192.302,1995, Nov, Brazil
25.8998,,228.109,1995, Dec, Brazil
25.9877,,224.417,1996, Jan, Brazil
26.1255,,215.971,1996, Feb, Brazil
25.5699,,260.55,1996, Mar, Brazil
25.2402,,207.893,1996, Apr, Brazil
24.479,,121.166,1996, May, Brazil
22.9811,,78.835,1996, Jun, Brazil
23.4364,,76.1877,1996, Jul, Brazil
24.6444,,52.0746,1996, Aug, Brazil
25.0308,,77.1525,1996, Sep, Brazil
25.9201,,136.477,1996, Oct, Brazil
25.6649,,179.881,1996, Nov, Brazil
26.2589,,181.523,1996, Dec, Brazil
25.6118,,246.932,1997, Jan, Brazil
25.8601,,223.66,1997, Feb, Brazil
25.2519,,301.95,1997, Mar, Brazil
25.1507,,186.827,1997, Apr, Brazil
24.3424,,123.638,1997, May, Brazil
23.7496,,65.8082,1997, Jun, Brazil
24.2523,,50.2111,1997, Jul, Brazil
24.6856,,53.7223,1997, Aug, Brazil
25.8613,,69.5138,1997, Sep, Brazil
26.8906,,105.69,1997, Oct, Brazil
26.7417,,161.002,1997, Nov, Brazil
26.465,,215.547,1997, Dec, Brazil
26.7041,,201.689,1998, Jan, Brazil
26.8333,,190.628,1998, Feb, Brazil
26.357,,216.157,1998, Mar, Brazil
26.3255,,173.809,1998, Apr, Brazil
24.8441,,124.977,1998, May, Brazil
23.9281,,91.2009,1998, Jun, Brazil
24.5773,,62.9909,1998, Jul, Brazil
25.4446,,68.0757,1998, Aug, Brazil
25.7331,,78.5111,1998, Sep, Brazil
26.4043,,129.348,1998, Oct, Brazil
26.031,,189.028,1998, Nov, Brazil
26.1804,,207.05,1998, Dec, Brazil
26.0825,,248.63,1999, Jan, Brazil
26.0898,,207.895,1999, Feb, Brazil
25.9152,,225.684,1999, Mar, Brazil
25.1308,,177.341,1999, Apr, Brazil
24.0045,,144.712,1999, May, Brazil
23.7472,,85.497,1999, Jun, Brazil
23.801,,62.2152,1999, Jul, Brazil
24.3559,,45.0151,1999, Aug, Brazil
25.7298,,83.9075,1999, Sep, Brazil
25.9712,,112.97,1999, Oct, Brazil
25.8139,,175.691,1999, Nov, Brazil
26.0335,,215.799,1999, Dec, Brazil
25.8922,,248.424,2000, Jan, Brazil
25.7304,,258.849,2000, Feb, Brazil
25.5237,,259.426,2000, Mar, Brazil
25.298,,203.939,2000, Apr, Brazil
24.6587,,131.116,2000, May, Brazil
24.0279,,80.6119,2000, Jun, Brazil
22.8954,,74.0347,2000, Jul, Brazil
24.8073,,70.1761,2000, Aug, Brazil
25.1792,,106.965,2000, Sep, Brazil
26.5293,,105.685,2000, Oct, Brazil
25.8763,,181.202,2000, Nov, Brazil
25.8833,,217.27,2000, Dec, Brazil
25.889,,207.776,2001, Jan, Brazil
26.1098,,201.831,2001, Feb, Brazil
25.9956,,231.186,2001, Mar, Brazil
25.844,,163.64,2001, Apr, Brazil
24.7001,,135.335,2001, May, Brazil
23.2559,,92.294,2001, Jun, Brazil
24.2577,,69.9056,2001, Jul, Brazil
25.1645,,48.4775,2001, Aug, Brazil
25.7005,,83.6756,2001, Sep, Brazil
26.2674,,132.902,2001, Oct, Brazil
26.3615,,177.945,2001, Nov, Brazil
26.071,,232.173,2001, Dec, Brazil
26.0038,,274.321,2002, Jan, Brazil
26.0543,,215.577,2002, Feb, Brazil
26.3506,,215.577,2002, Mar, Brazil
26.0302,,191.741,2002, Apr, Brazil
25.2653,,152.821,2002, May, Brazil
24.0697,,81.0081,2002, Jun, Brazil
24.3129,,63.698,2002, Jul, Brazil
25.3006,,56.1344,2002, Aug, Brazil
25.5974,,75.3035,2002, Sep, Brazil
27.0233,,115.758,2002, Oct, Brazil
26.4626,,141.532,2002, Nov, Brazil
26.3774,,235.131,2002, Dec, Brazil
26.4503,,218.979,2003, Jan, Brazil
26.4307,,233.898,2003, Feb, Brazil
26.0488,,224.243,2003, Mar, Brazil
25.7608,,171.405,2003, Apr, Brazil
24.7559,,134.656,2003, May, Brazil
24.7049,,86.2865,2003, Jun, Brazil
23.938,,58.5221,2003, Jul, Brazil
24.1622,,65.2096,2003, Aug, Brazil
25.5287,,85.3208,2003, Sep, Brazil
26.2649,,105.474,2003, Oct, Brazil
26.2403,,152.578,2003, Nov, Brazil
26.5705,,155.336,2003, Dec, Brazil
26.1996,,275.218,2004, Jan, Brazil
25.7999,,279.715,2004, Feb, Brazil
26.001,,249.953,2004, Mar, Brazil
26.0832,,162.854,2004, Apr, Brazil
24.3298,,133.053,2004, May, Brazil
23.9999,,74.7453,2004, Jun, Brazil
23.6311,,76.1883,2004, Jul, Brazil
24.6258,,51.4091,2004, Aug, Brazil
25.8999,,54.1408,2004, Sep, Brazil
26.496,,120.685,2004, Oct, Brazil
26.4233,,143.71,2004, Nov, Brazil
26.2918,,179.312,2004, Dec, Brazil
26.6529,,220.766,2005, Jan, Brazil
26.5285,,225.89,2005, Feb, Brazil
26.2976,,285.732,2005, Mar, Brazil
26.0263,,186.65,2005, Apr, Brazil
25.168,,161.415,2005, May, Brazil
24.5774,,70.305,2005, Jun, Brazil
23.872,,47.144,2005, Jul, Brazil
25.3791,,51.4537,2005, Aug, Brazil
25.3699,,71.6992,2005, Sep, Brazil
26.818,,113.066,2005, Oct, Brazil
26.64,,137.595,2005, Nov, Brazil
25.9184,,241.65,2005, Dec, Brazil
26.592,,203.852,2006, Jan, Brazil
26.284,,237.058,2006, Feb, Brazil
26.1389,,261.471,2006, Mar, Brazil
25.4638,,219.675,2006, Apr, Brazil
24.1172,,157.874,2006, May, Brazil
23.9029,,81.0846,2006, Jun, Brazil
24.3948,,60.9879,2006, Jul, Brazil
25.1154,,46.0967,2006, Aug, Brazil
25.6463,,73.7723,2006, Sep, Brazil
26.5309,,131.124,2006, Oct, Brazil
26.0784,,178.842,2006, Nov, Brazil
26.4705,,206.148,2006, Dec, Brazil
26.5299,,211.163,2007, Jan, Brazil
26.2615,,242.422,2007, Feb, Brazil
26.2567,,209.806,2007, Mar, Brazil
25.9564,,183.982,2007, Apr, Brazil
24.5048,,125.068,2007, May, Brazil
24.3439,,66.1688,2007, Jun, Brazil
23.8918,,69.4399,2007, Jul, Brazil
24.3937,,53.1302,2007, Aug, Brazil
26.3635,,48.0215,2007, Sep, Brazil
26.7388,,111.526,2007, Oct, Brazil
26.3731,,165.099,2007, Nov, Brazil
26.154,,213.294,2007, Dec, Brazil
25.6394,,273.881,2008, Jan, Brazil
25.7319,,236.915,2008, Feb, Brazil
25.6503,,276.601,2008, Mar, Brazil
25.3256,,205.173,2008, Apr, Brazil
24.1105,,134.812,2008, May, Brazil
23.3868,,77.829,2008, Jun, Brazil
24.2839,,55.3164,2008, Jul, Brazil
25.3217,,54.6816,2008, Aug, Brazil
25.6099,,74.755,2008, Sep, Brazil
26.9318,,114.063,2008, Oct, Brazil
26.418,,157.871,2008, Nov, Brazil
26.0776,,234.459,2008, Dec, Brazil
25.8964,,243.597,2009, Jan, Brazil
25.8547,,245.226,2009, Feb, Brazil
26.1097,,262.495,2009, Mar, Brazil
25.5711,,209.818,2009, Apr, Brazil
24.7066,,148.634,2009, May, Brazil
23.4252,,103.132,2009, Jun, Brazil
24.0877,,74.99,2009, Jul, Brazil
25.0589,,64.2687,2009, Aug, Brazil
26.1593,,79.6446,2009, Sep, Brazil
26.4735,,155.088,2009, Oct, Brazil
27.1158,,140.53,2009, Nov, Brazil
26.1505,,236.77,2009, Dec, Brazil
26.5481,,245.466,2010, Jan, Brazil
27.0655,,214.736,2010, Feb, Brazil
26.8228,,240.907,2010, Mar, Brazil
25.8801,,202.919,2010, Apr, Brazil
24.9453,,133.099,2010, May, Brazil
24.0319,,72.7541,2010, Jun, Brazil
24.2075,,67.3053,2010, Jul, Brazil
24.7496,,40.758,2010, Aug, Brazil
26.498,,57.6373,2010, Sep, Brazil
26.583,,113.856,2010, Oct, Brazil
26.1724,,161.147,2010, Nov, Brazil
26.3027,,213.956,2010, Dec, Brazil
26.0039,,245.482,2011, Jan, Brazil
25.9424,,262.373,2011, Feb, Brazil
25.6809,,282.616,2011, Mar, Brazil
25.6713,,203.862,2011, Apr, Brazil
24.7252,,139.706,2011, May, Brazil
24.1491,,72.2089,2011, Jun, Brazil
24.2797,,62.3055,2011, Jul, Brazil
25.1329,,52.4179,2011, Aug, Brazil
26.1025,,52.0665,2011, Sep, Brazil
26.1899,,140.386,2011, Oct, Brazil
25.975,,168.241,2011, Nov, Brazil
26.1336,,180.697,2011, Dec, Brazil
25.7407,,256.824,2012, Jan, Brazil
25.8938,,239.551,2012, Feb, Brazil
25.831,,222.431,2012, Mar, Brazil
25.8573,,167.197,2012, Apr, Brazil
24.8098,,111.888,2012, May, Brazil
24.2814,,74.9119,2012, Jun, Brazil
24.0859,,62.8351,2012, Jul, Brazil
25.1256,,40.8529,2012, Aug, Brazil
26.4915,,58.7737,2012, Sep, Brazil
27.209,,86.6818,2012, Oct, Brazil
26.6183,,161.262,2012, Nov, Brazil
26.5734,,173.289,2012, Dec, Brazil
26.3435,,234.139,2013, Jan, Brazil
26.3703,,228.47,2013, Feb, Brazil
26.327,,197.588,2013, Mar, Brazil
25.6717,,173.695,2013, Apr, Brazil
24.9765,,142.058,2013, May, Brazil
24.6711,,89.6447,2013, Jun, Brazil
24.1988,,71.8725,2013, Jul, Brazil
24.4792,,60.1136,2013, Aug, Brazil
26.0349,,71.143,2013, Sep, Brazil
26.4174,,119.35,2013, Oct, Brazil
26.1291,,172.05,2013, Nov, Brazil
26.3653,,212.597,2013, Dec, Brazil
26.3036,,202.178,2014, Jan, Brazil
26.1074,,229.507,2014, Feb, Brazil
25.8583,,265.345,2014, Mar, Brazil
25.8516,,194.447,2014, Apr, Brazil
24.9854,,136.029,2014, May, Brazil
24.5019,,83.6343,2014, Jun, Brazil
24.0488,,69.5019,2014, Jul, Brazil
25.2642,,49.0319,2014, Aug, Brazil
26.7976,,67.9334,2014, Sep, Brazil
26.9956,,95.0624,2014, Oct, Brazil
26.6407,,171.367,2014, Nov, Brazil
26.4223,,185.708,2014, Dec, Brazil
26.6419,24.4,198.674,2015, Jan, Brazil
26.3285,22.7,197.071,2015, Feb, Brazil
26.0379,21.3,250.926,2015, Mar, Brazil
26.0064,20.8,194.346,2015, Apr, Brazil
25.1254,17.9,148.205,2015, May, Brazil
24.653,16.8,71.9657,2015, Jun, Brazil
24.6845,18,78.7769,2015, Jul, Brazil
25.7821,,47.016,2015, Aug, Brazil
27.3481,,53.2885,2015, Sep, Brazil
27.1013,,80.3109,2015, Oct, Brazil
27.2134,,121.426,2015, Nov, Brazil
27.0235,,145.08,2015, Dec, Brazil
26.6768,,253.296,2016, Jan, Brazil
26.5488,,201.924,2016, Feb, Brazil
26.605,,200.512,2016, Mar, Brazil
26.7497,,150.809,2016, Apr, Brazil
25.1179,,108.458,2016, May, Brazil
23.9542,,77.1786,2016, Jun, Brazil
24.7449,,55.9171,2016, Jul, Brazil
25.5629,,54.0275,2016, Aug, Brazil
25.9775,,67.9271,2016, Sep, Brazil
27.0781,,129.909,2016, Oct, Brazil
26.7037,,129.564,2016, Nov, Brazil
26.5119,,197.271,2016, Dec, Brazil
