Date,temp,rain,production,futures,rust
12/1/1993,25.7498,208.841,2347.25,0.7865,0.00
12/8/1993,25.7498,208.841,2347.25,0.7715,0.00
12/15/1993,25.7498,208.841,2347.25,0.798,0.00
12/22/1993,25.7498,208.841,2347.25,0.763,0.00
12/29/1993,25.7498,208.841,2347.25,0.749,0.00
8/1/1994,24.2654,56.0826,2349.33,2.116,0.00
8/8/1994,24.2654,56.0826,2349.33,1.786,0.00
8/15/1994,24.2654,56.0826,2349.33,1.94,0.00
8/22/1994,24.2654,56.0826,2349.33,1.8275,0.00
8/29/1994,24.2654,56.0826,2349.33,2.1116,0.00
9/1/1994,25.5113,83.3549,2349.33,2.121,0.00
9/8/1994,25.5113,83.3549,2349.33,2.1555,0.00
9/15/1994,25.5113,83.3549,2349.33,2.124,0.00
9/22/1994,25.5113,83.3549,2349.33,2.2755,0.00
9/29/1994,25.5113,83.3549,2349.33,2.161,0.00
10/3/1994,26.1809,120.58,2349.33,2.096,0.00
10/10/1994,26.1809,120.58,2349.33,1.7975,0.00
10/17/1994,26.1809,120.58,2349.33,2.0385,0.00
10/24/1994,26.1809,120.58,2349.33,1.9675,0.00
10/31/1994,26.1809,120.58,2349.33,1.874,0.00
11/1/1994,26.0029,158.92,2349.33,1.8635,0.00
11/8/1994,26.0029,158.92,2349.33,1.89,0.00
11/15/1994,26.0029,158.92,2349.33,1.7125,0.00
11/22/1994,26.0029,158.92,2349.33,1.6035,0.00
11/29/1994,26.0029,158.92,2349.33,1.6072,0.00
12/1/1994,25.9198,196.57,2349.33,1.617,0.00
12/8/1994,25.9198,196.57,2349.33,1.6445,0.00
12/3/2007,26.1926,207.879,3247.67,1.2995,0.00
12/10/2007,26.1926,207.879,3247.67,1.335,0.00
12/17/2007,26.1926,207.879,3247.67,1.3345,0.00
12/26/2007,26.1926,207.879,3247.67,1.3365,0.00
12/31/2007,26.1926,207.879,3247.67,1.362,0.00
1/2/2008,25.541,269.327,3247.67,1.34,0.00
1/9/2008,25.541,269.327,3247.67,1.356,0.00
1/16/2008,25.541,269.327,3247.67,1.349,0.00
1/23/2008,25.541,269.327,3247.67,1.313,0.00
1/30/2008,25.541,269.327,3247.67,1.3655,0.00
11/1/1993,25.8444,179.768,2347.25,0.7755,1.00
11/8/1993,25.8444,179.768,2347.25,0.7545,1.00
11/15/1993,25.8444,179.768,2347.25,0.7385,1.00
11/22/1993,25.8444,179.768,2347.25,0.743,1.00
11/29/1993,25.8444,179.768,2347.25,0.7828,1.00
12/15/1994,25.9198,196.57,2349.33,1.504,1.00
12/22/1994,25.9198,196.57,2349.33,1.7175,1.00
12/29/1994,25.9198,196.57,2349.33,1.7385,1.00
10/2/1995,26.1695,115.498,1505.00,1.218,1.00
10/9/1995,26.1695,115.498,1505.00,1.1405,1.00
10/16/1995,26.1695,115.498,1505.00,1.259,1.00
10/23/1995,26.1695,115.498,1505.00,1.2635,1.00
10/30/1995,26.1695,115.498,1505.00,1.2055,1.00
11/1/1995,25.8871,190.862,1505.00,1.2225,1.00
11/8/1995,25.8871,190.862,1505.00,1.279,1.00
11/15/1995,25.8871,190.862,1505.00,1.2545,1.00
11/22/1995,25.8871,190.862,1505.00,1.1415,1.00
11/29/1995,25.8871,190.862,1505.00,1.0978,1.00
12/1/1995,25.8754,226.168,1505.00,1.044,1.00
12/8/1995,25.8754,226.168,1505.00,1.0155,1.00
12/15/1995,25.8754,226.168,1505.00,1.0775,1.00
12/22/1995,25.8754,226.168,1505.00,0.9635,1.00
12/29/1995,25.8754,226.168,1505.00,0.949,1.00
11/2/1998,26.0175,191.727,3063.42,1.197,1.00
11/9/2018,26.0175,191.727,3063.42,1.1965,1.00
11/16/1998,26.0175,191.727,3063.42,1.14,1.00
11/23/1998,26.0175,191.727,3063.42,1.0812,1.00
11/30/1998,26.0175,191.727,3063.42,1.1054,1.00
11/1/1999,25.8869,173.981,3964.83,1.1035,1.00
11/8/1999,25.8869,173.981,3964.83,1.109,1.00
11/15/1999,25.8869,173.981,3964.83,1.288,1.00
11/22/1999,25.8869,173.981,3964.83,1.103,1.00
11/29/1999,25.8869,173.981,3964.83,1.168,1.00
11/1/2000,25.8937,180.837,2609.17,0.739,1.00
11/8/2000,25.8937,180.837,2609.17,0.753,1.00
11/15/2000,25.8937,180.837,2609.17,0.703,1.00
11/22/2000,25.8937,180.837,2609.17,0.683,1.00
11/29/2000,25.8937,180.837,2609.17,0.7277,1.00
11/1/2001,26.4455,174.975,2613.75,0.452,1.00
11/8/2001,26.4455,174.975,2613.75,0.4575,1.00
11/15/2001,26.4455,174.975,2613.75,0.484,1.00
11/26/2001,26.4455,174.975,2613.75,0.4575,1.00
11/1/2002,26.4679,146.828,4029.33,0.64,1.00
11/8/2002,26.4679,146.828,4029.33,0.6785,1.00
11/15/2002,26.4679,146.828,4029.33,0.664,1.00
11/22/2002,26.4679,146.828,4029.33,0.677,1.00
11/3/2003,26.2583,151.721,2406.08,0.5865,1.00
11/10/2003,26.2583,151.721,2406.08,0.591,1.00
11/17/2003,26.2583,151.721,2406.08,0.5925,1.00
11/24/2003,26.2583,151.721,2406.08,0.5841,1.00
