,temp,rain,production,futures,rust
0,25.7498,208.84099999999998,2347.25,0.7865,0.0
1,25.7498,208.84099999999998,2347.25,0.7715,0.0
2,25.7498,208.84099999999998,2347.25,0.7979999999999999,0.0
3,25.7498,208.84099999999998,2347.25,0.763,0.0
4,25.7498,208.84099999999998,2347.25,0.7490000000000001,0.0
5,24.2654,56.0826,2349.33,2.116,0.0
6,24.2654,56.0826,2349.33,1.786,0.0
7,24.2654,56.0826,2349.33,1.94,0.0
8,24.2654,56.0826,2349.33,1.8275,0.0
9,24.2654,56.0826,2349.33,2.1116,0.0
10,25.5113,83.3549,2349.33,2.121,0.0
11,25.5113,83.3549,2349.33,2.1555,0.0
12,25.5113,83.3549,2349.33,2.124,0.0
13,25.5113,83.3549,2349.33,2.2755,0.0
14,25.5113,83.3549,2349.33,2.161,0.0
15,26.1809,120.58,2349.33,2.096,0.0
16,26.1809,120.58,2349.33,1.7975,0.0
17,26.1809,120.58,2349.33,2.0385,0.0
18,26.1809,120.58,2349.33,1.9675,0.0
19,26.1809,120.58,2349.33,1.874,0.0
20,26.0029,158.92,2349.33,1.8635,0.0
21,26.0029,158.92,2349.33,1.89,0.0
22,26.0029,158.92,2349.33,1.7125,0.0
23,26.0029,158.92,2349.33,1.6035,0.0
24,26.0029,158.92,2349.33,1.6072,0.0
25,25.9198,196.57,2349.33,1.617,0.0
26,25.9198,196.57,2349.33,1.6445,0.0
27,26.1926,207.87900000000002,3247.67,1.2995,0.0
28,26.1926,207.87900000000002,3247.67,1.335,0.0
29,26.1926,207.87900000000002,3247.67,1.3345,0.0
30,26.1926,207.87900000000002,3247.67,1.3365,0.0
31,26.1926,207.87900000000002,3247.67,1.3619999999999999,0.0
32,25.541,269.327,3247.67,1.34,0.0
33,25.541,269.327,3247.67,1.3559999999999999,0.0
34,25.541,269.327,3247.67,1.349,0.0
35,25.541,269.327,3247.67,1.3130000000000002,0.0
36,25.541,269.327,3247.67,1.3655,0.0
37,25.8444,179.768,2347.25,0.7755,1.0
38,25.8444,179.768,2347.25,0.7545,1.0
39,25.8444,179.768,2347.25,0.7385,1.0
40,25.8444,179.768,2347.25,0.743,1.0
41,25.8444,179.768,2347.25,0.7828,1.0
42,25.9198,196.57,2349.33,1.504,1.0
43,25.9198,196.57,2349.33,1.7175,1.0
44,25.9198,196.57,2349.33,1.7385,1.0
45,26.1695,115.49799999999999,1505.0,1.218,1.0
46,26.1695,115.49799999999999,1505.0,1.1405,1.0
47,26.1695,115.49799999999999,1505.0,1.2590000000000001,1.0
48,26.1695,115.49799999999999,1505.0,1.2635,1.0
49,26.1695,115.49799999999999,1505.0,1.2055,1.0
50,25.8871,190.862,1505.0,1.2225,1.0
51,25.8871,190.862,1505.0,1.2790000000000001,1.0
52,25.8871,190.862,1505.0,1.2545,1.0
53,25.8871,190.862,1505.0,1.1415,1.0
54,25.8871,190.862,1505.0,1.0978,1.0
55,25.8754,226.168,1505.0,1.044,1.0
56,25.8754,226.168,1505.0,1.0155,1.0
57,25.8754,226.168,1505.0,1.0775,1.0
58,25.8754,226.168,1505.0,0.9635,1.0
59,25.8754,226.168,1505.0,0.9490000000000001,1.0
60,26.0175,191.727,3063.42,1.197,1.0
61,26.0175,191.727,3063.42,1.1965,1.0
62,26.0175,191.727,3063.42,1.14,1.0
63,26.0175,191.727,3063.42,1.0812,1.0
64,26.0175,191.727,3063.42,1.1054,1.0
65,25.8869,173.981,3964.83,1.1035,1.0
66,25.8869,173.981,3964.83,1.109,1.0
67,25.8869,173.981,3964.83,1.288,1.0
68,25.8869,173.981,3964.83,1.103,1.0
69,25.8869,173.981,3964.83,1.168,1.0
70,25.8937,180.83700000000002,2609.17,0.7390000000000001,1.0
71,25.8937,180.83700000000002,2609.17,0.753,1.0
72,25.8937,180.83700000000002,2609.17,0.703,1.0
73,25.8937,180.83700000000002,2609.17,0.6829999999999999,1.0
74,25.8937,180.83700000000002,2609.17,0.7277,1.0
75,26.4455,174.975,2613.75,0.452,1.0
76,26.4455,174.975,2613.75,0.4575,1.0
77,26.4455,174.975,2613.75,0.484,1.0
78,26.4455,174.975,2613.75,0.4575,1.0
79,26.4679,146.828,4029.33,0.64,1.0
80,26.4679,146.828,4029.33,0.6785,1.0
81,26.4679,146.828,4029.33,0.664,1.0
82,26.4679,146.828,4029.33,0.677,1.0
83,26.2583,151.721,2406.08,0.5865,1.0
84,26.2583,151.721,2406.08,0.591,1.0
85,26.2583,151.721,2406.08,0.5925,1.0
86,26.2583,151.721,2406.08,0.5841,1.0
87,25.2383,45.3446,3582.25,0.983,1.0
88,25.2383,45.3446,3582.25,1.071,1.0
89,25.2383,45.3446,3582.25,1.0285,1.0
90,25.2383,45.3446,3582.25,1.082,1.0
91,25.2383,45.3446,3582.25,1.0490000000000002,1.0
92,25.7479,242.99900000000002,3247.67,1.391,1.0
93,25.7479,242.99900000000002,3247.67,1.472,1.0
94,25.7479,242.99900000000002,3247.67,1.4985,1.0
95,25.7479,242.99900000000002,3247.67,1.6015,1.0
96,25.7479,242.99900000000002,3247.67,1.6636,1.0
97,25.6103,282.22700000000003,3247.67,1.6755,1.0
98,25.6103,282.22700000000003,3247.67,1.505,1.0
99,25.6103,282.22700000000003,3247.67,1.36,1.0
100,25.6103,282.22700000000003,3247.67,1.2875,1.0
101,25.6103,282.22700000000003,3247.67,1.274,1.0
102,26.6425,117.0,4250.0,1.3019999999999998,1.0
103,26.6425,117.0,4250.0,1.2515,1.0
104,26.6425,117.0,4250.0,1.2045,1.0
105,26.6425,117.0,4250.0,1.2095,1.0
106,26.6425,117.0,4250.0,1.2229999999999999,1.0
107,26.1481,189.563,2349.33,1.6775,2.0
108,26.1481,189.563,2349.33,1.69,2.0
109,26.1481,189.563,2349.33,1.703,2.0
110,26.1481,189.563,2349.33,1.666,2.0
111,26.1481,189.563,2349.33,1.555,2.0
112,26.3697,126.911,3063.42,1.0270000000000001,2.0
113,26.3697,126.911,3063.42,1.1145,2.0
114,26.3697,126.911,3063.42,1.0685,2.0
115,26.3697,126.911,3063.42,1.0675,2.0
116,26.3697,126.911,3063.42,1.074,2.0
117,26.015,117.68299999999999,3964.83,0.8135,2.0
118,26.015,117.68299999999999,3964.83,0.851,2.0
119,26.015,117.68299999999999,3964.83,1.084,2.0
120,26.015,117.68299999999999,3964.83,0.929,2.0
121,26.015,117.68299999999999,3964.83,1.002,2.0
122,26.5363,107.227,2609.17,0.7935,2.0
123,26.5363,107.227,2609.17,0.7995,2.0
124,26.5363,107.227,2609.17,0.8565,2.0
125,26.5363,107.227,2609.17,0.7845,2.0
126,26.5363,107.227,2609.17,0.735,2.0
127,26.3197,132.565,2613.75,0.474,2.0
128,26.3197,132.565,2613.75,0.45899999999999996,2.0
129,26.3197,132.565,2613.75,0.4385,2.0
130,26.3197,132.565,2613.75,0.425,2.0
131,26.3197,132.565,2613.75,0.4365,2.0
132,26.9941,119.59,4029.33,0.5655,2.0
133,26.9941,119.59,4029.33,0.5825,2.0
134,26.9941,119.59,4029.33,0.6970000000000001,2.0
135,26.9941,119.59,4029.33,0.6409999999999999,2.0
136,26.9941,119.59,4029.33,0.629,2.0
137,26.2036,107.93299999999999,2406.08,0.6515,2.0
138,26.2036,107.93299999999999,2406.08,0.6265,2.0
139,26.2036,107.93299999999999,2406.08,0.6105,2.0
140,26.2036,107.93299999999999,2406.08,0.6185,2.0
141,26.2036,107.93299999999999,2406.08,0.613,2.0
142,25.177,200.521,4207.5,1.291,2.0
143,25.177,200.521,4207.5,1.3319999999999999,2.0
144,25.177,200.521,4207.5,1.3419999999999999,2.0
145,25.177,200.521,4207.5,1.3530000000000002,2.0
146,25.177,200.521,4207.5,1.3492,2.0
147,26.1698,158.431,4207.5,1.1235,2.0
148,26.1698,158.431,4207.5,1.128,2.0
149,26.1698,158.431,4207.5,1.1055,2.0
150,26.1698,158.431,4207.5,1.1257,2.0
151,26.2946,203.727,3063.42,1.0885,3.0
152,26.2946,203.727,3063.42,1.1185,3.0
153,26.2946,203.727,3063.42,1.212,3.0
154,26.2946,203.727,3063.42,1.1605,3.0
155,26.2946,203.727,3063.42,1.168,3.0
156,26.1328,228.322,3964.83,1.3085,3.0
157,26.1328,228.322,3964.83,1.291,3.0
158,26.1328,228.322,3964.83,1.2835,3.0
159,26.1328,228.322,3964.83,1.1765,3.0
160,26.1328,228.322,3964.83,1.2,3.0
161,25.9276,215.71099999999998,2609.17,0.7165,3.0
162,25.9276,215.71099999999998,2609.17,0.68,3.0
163,25.9276,215.71099999999998,2609.17,0.667,3.0
164,25.9276,215.71099999999998,2609.17,0.654,3.0
165,25.9276,215.71099999999998,2609.17,0.6555,3.0
166,26.039,225.24,2613.75,0.461,3.0
167,26.039,225.24,2613.75,0.4685,3.0
168,26.039,225.24,2613.75,0.4635,3.0
169,26.039,225.24,2613.75,0.465,3.0
170,26.3824,237.28799999999998,4029.33,0.7285,3.0
171,26.3824,237.28799999999998,4029.33,0.6629999999999999,3.0
172,26.3824,237.28799999999998,4029.33,0.6125,3.0
173,26.3824,237.28799999999998,4029.33,0.6145,3.0
174,26.3824,237.28799999999998,4029.33,0.6135,3.0
175,26.5912,161.256,2406.08,0.624,3.0
176,26.5912,161.256,2406.08,0.6645,3.0
177,26.5912,161.256,2406.08,0.622,3.0
178,26.5912,161.256,2406.08,0.6409999999999999,3.0
179,26.5912,161.256,2406.08,0.6395,3.0
180,25.9458,245.87400000000002,2744.42,0.9645,3.0
181,25.9458,245.87400000000002,2744.42,0.9620000000000001,3.0
182,25.9458,245.87400000000002,2744.42,0.9785,3.0
183,25.9458,245.87400000000002,2744.42,1.028,3.0
184,25.9458,245.87400000000002,2744.42,1.069,3.0
185,25.9974,162.671,2274.42,0.8540000000000001,4.0
186,25.9974,162.671,2274.42,0.8015,4.0
187,25.9974,162.671,2274.42,0.7879999999999999,4.0
188,25.9974,162.671,2274.42,0.784,4.0
189,25.9872,122.421,2347.25,0.735,4.0
190,25.9872,122.421,2347.25,0.741,4.0
191,25.9872,122.421,2347.25,0.7509999999999999,4.0
192,25.9872,122.421,2347.25,0.7715,4.0
193,25.9872,122.421,2347.25,0.7929999999999999,4.0
194,25.9412,133.44299999999998,2274.42,0.7879999999999999,5.0
195,25.9412,133.44299999999998,2274.42,0.787,5.0
196,25.9412,133.44299999999998,2274.42,0.7865,5.0
197,25.9412,133.44299999999998,2274.42,0.7959999999999999,5.0
198,24.4257,95.8098,2883.58,0.547,5.0
199,24.4257,95.8098,2883.58,0.5345,5.0
200,24.4257,95.8098,2883.58,0.5215,5.0
201,24.4257,95.8098,2883.58,0.5685,5.0
202,24.4257,95.8098,2883.58,0.541,5.0
203,25.5448,265.248,2347.25,0.725,5.0
204,25.5448,265.248,2347.25,0.7305,5.0
205,25.5448,265.248,2347.25,0.737,5.0
206,25.5448,265.248,2347.25,0.7465,5.0
207,25.5448,265.248,2347.25,0.7235,5.0
208,25.5879,117.602,2883.58,0.5670000000000001,6.0
209,25.5879,117.602,2883.58,0.604,6.0
210,25.5879,117.602,2883.58,0.6285,6.0
211,25.5879,117.602,2883.58,0.6595,6.0
212,25.5879,117.602,2883.58,0.6715,6.0
213,25.7423,217.778,2347.25,0.7240000000000001,6.0
214,25.7423,217.778,2347.25,0.7595,6.0
215,25.7423,217.778,2347.25,0.765,6.0
216,25.7423,217.778,2347.25,0.763,6.0
217,24.0721,136.21,4207.5,1.2925,6.0
218,24.0721,136.21,4207.5,1.3455,6.0
219,24.0721,136.21,4207.5,1.368,6.0
220,24.0721,136.21,4207.5,1.3419999999999999,6.0
221,24.0721,136.21,4207.5,1.325,6.0
222,23.3609,78.7739,4207.5,1.3735,7.0
223,23.3609,78.7739,4207.5,1.3105,7.0
224,23.3609,78.7739,4207.5,1.3605,7.0
225,23.3609,78.7739,4207.5,1.4380000000000002,7.0
226,23.3609,78.7739,4207.5,1.5274,7.0
227,25.5867,72.8734,4207.5,1.4445,7.0
228,25.5867,72.8734,4207.5,1.401,7.0
229,25.5867,72.8734,4207.5,1.334,7.0
230,25.5867,72.8734,4207.5,1.349,7.0
231,25.5867,72.8734,4207.5,1.3045,7.0
232,25.5752,96.1997,2274.42,0.812,8.0
233,25.5752,96.1997,2274.42,0.8029999999999999,8.0
234,25.5752,96.1997,2274.42,0.799,8.0
235,25.5752,96.1997,2274.42,0.836,8.0
236,25.0619,84.6527,2347.25,0.7895,8.0
237,25.0619,84.6527,2347.25,0.7879999999999999,8.0
238,25.0619,84.6527,2347.25,0.821,8.0
239,25.0619,84.6527,2347.25,0.7855,8.0
240,25.0619,84.6527,2347.25,0.7565,8.0
241,25.4517,258.888,2347.25,0.7665,8.0
242,25.4517,258.888,2347.25,0.7865,8.0
243,25.4517,258.888,2347.25,0.8140000000000001,8.0
244,25.4517,258.888,2347.25,0.8290000000000001,8.0
245,25.4517,258.888,2347.25,0.812,8.0
